from_stage_id,to_stage_id,distance_km,hour,fare,corridor_group,fare_id,source_code
STG001,DST-CBD-SHORT-HOP,3.4,7,60.0,CBD Short-hop,FR003,S07
STG001,DST-CBD-SHORT-HOP,3.4,7,40.0,CBD Short-hop,FR004,S07
STG001,DST-CBD-SHORT-HOP,3.8,8,62.5,CBD Short-hop,FR003,S07
STG001,DST-CBD-SHORT-HOP,3.8,8,40.0,CBD Short-hop,FR004,S07
STG001,DST-CBD-SHORT-HOP,3.4,10,50.0,CBD Short-hop,FR003,S07
STG001,DST-CBD-SHORT-HOP,3.4,10,30.0,CBD Short-hop,FR004,S07
STG001,DST-CBD-SHORT-HOP,4.0,14,55.0,CBD Short-hop,FR003,S07
STG001,DST-CBD-SHORT-HOP,4.0,14,30.0,CBD Short-hop,FR004,S07
STG001,DST-CBD-SHORT-HOP,4.2,17,62.5,CBD Short-hop,FR003,S07
STG001,DST-CBD-SHORT-HOP,4.2,17,40.0,CBD Short-hop,FR004,S07
STG001,DST-CBD-SHORT-HOP,4.6,18,65.0,CBD Short-hop,FR003,S07
STG001,DST-CBD-SHORT-HOP,4.6,18,40.0,CBD Short-hop,FR004,S07
STG001,DST-CBD-SHORT-HOP,4.6,22,60.0,CBD Short-hop,FR003,S07
STG001,DST-CBD-SHORT-HOP,4.6,22,30.0,CBD Short-hop,FR004,S07
STG008,DST-JOGOO-ROAD,6.8,7,125.0,Jogoo Road,FR006,S08
STG008,DST-JOGOO-ROAD,6.8,7,80.0,Jogoo Road,FR007,S09
STG008,DST-JOGOO-ROAD,7.6,8,127.5,Jogoo Road,FR006,S08
STG008,DST-JOGOO-ROAD,7.6,8,95.0,Jogoo Road,FR007,S09
STG008,DST-JOGOO-ROAD,6.8,10,100.0,Jogoo Road,FR006,S08
STG008,DST-JOGOO-ROAD,6.8,10,40.0,Jogoo Road,FR007,S09
STG008,DST-JOGOO-ROAD,8.0,14,100.0,Jogoo Road,FR006,S08
STG008,DST-JOGOO-ROAD,8.0,14,45.0,Jogoo Road,FR007,S09
STG008,DST-JOGOO-ROAD,8.4,17,127.5,Jogoo Road,FR006,S08
STG008,DST-JOGOO-ROAD,8.4,17,95.0,Jogoo Road,FR007,S09
STG008,DST-JOGOO-ROAD,9.2,18,130.0,Jogoo Road,FR006,S08
STG008,DST-JOGOO-ROAD,9.2,18,110.0,Jogoo Road,FR007,S09
STG008,DST-JOGOO-ROAD,9.2,22,100.0,Jogoo Road,FR006,S08
STG008,DST-JOGOO-ROAD,9.2,22,50.0,Jogoo Road,FR007,S09
STG009,DST-MOMBASA-ROAD,25.5,7,150.0,Mombasa Road,FR011,S02
STG009,DST-MOMBASA-ROAD,25.5,7,110.0,Mombasa Road,FR016,S11
STG009,DST-MOMBASA-ROAD,28.5,8,175.0,Mombasa Road,FR011,S02
STG009,DST-MOMBASA-ROAD,28.5,8,130.0,Mombasa Road,FR016,S11
STG009,DST-MOMBASA-ROAD,25.5,10,150.0,Mombasa Road,FR011,S02
STG009,DST-MOMBASA-ROAD,25.5,10,80.0,Mombasa Road,FR016,S11
STG009,DST-MOMBASA-ROAD,30.0,14,150.0,Mombasa Road,FR011,S02
STG009,DST-MOMBASA-ROAD,30.0,14,95.0,Mombasa Road,FR016,S11
STG009,DST-MOMBASA-ROAD,31.5,17,175.0,Mombasa Road,FR011,S02
STG009,DST-MOMBASA-ROAD,31.5,17,130.0,Mombasa Road,FR016,S11
STG009,DST-MOMBASA-ROAD,34.5,18,200.0,Mombasa Road,FR011,S02
STG009,DST-MOMBASA-ROAD,34.5,18,150.0,Mombasa Road,FR016,S11
STG009,DST-MOMBASA-ROAD,34.5,22,150.0,Mombasa Road,FR011,S02
STG009,DST-MOMBASA-ROAD,34.5,22,110.0,Mombasa Road,FR016,S11
STG007,DST-NGONG-ROAD,12.8,7,150.0,Ngong Road,FR002,S07
STG007,DST-NGONG-ROAD,12.8,7,80.0,Ngong Road,FR009,S02
STG007,DST-NGONG-ROAD,12.8,7,100.0,Ngong Road,FR010,S02
STG007,DST-NGONG-ROAD,12.8,7,100.0,Ngong Road,FR015,S10
STG007,DST-NGONG-ROAD,14.2,8,170.0,Ngong Road,FR002,S07
STG007,DST-NGONG-ROAD,14.2,8,90.0,Ngong Road,FR009,S02
STG007,DST-NGONG-ROAD,14.2,8,125.0,Ngong Road,FR010,S02
STG007,DST-NGONG-ROAD,14.2,8,125.0,Ngong Road,FR015,S10
STG007,DST-NGONG-ROAD,12.8,10,100.0,Ngong Road,FR002,S07
STG007,DST-NGONG-ROAD,12.8,10,80.0,Ngong Road,FR009,S02
STG007,DST-NGONG-ROAD,12.8,10,100.0,Ngong Road,FR010,S02
STG007,DST-NGONG-ROAD,12.8,10,70.0,Ngong Road,FR015,S10
STG007,DST-NGONG-ROAD,15.0,14,115.0,Ngong Road,FR002,S07
STG007,DST-NGONG-ROAD,15.0,14,80.0,Ngong Road,FR009,S02
STG007,DST-NGONG-ROAD,15.0,14,100.0,Ngong Road,FR010,S02
STG007,DST-NGONG-ROAD,15.0,14,85.0,Ngong Road,FR015,S10
STG007,DST-NGONG-ROAD,15.8,17,170.0,Ngong Road,FR002,S07
STG007,DST-NGONG-ROAD,15.8,17,90.0,Ngong Road,FR009,S02
STG007,DST-NGONG-ROAD,15.8,17,125.0,Ngong Road,FR010,S02
STG007,DST-NGONG-ROAD,15.8,17,125.0,Ngong Road,FR015,S10
STG007,DST-NGONG-ROAD,17.2,18,190.0,Ngong Road,FR002,S07
STG007,DST-NGONG-ROAD,17.2,18,100.0,Ngong Road,FR009,S02
